number,date.collected,date.processed,method,sex.shrimp,length.carapace,length.total,parasite.female,parasite.male,visible.naked,side,notes
1,20190119,20190119,excavation,male,12.3,35.7,0,0,,,
2,20190119,20190119,excavation,male,5.4,17.7,0,0,,,
3,20190119,20190119,excavation,female,12.4,32.5,1,1,,,
4,20190119,20190119,excavation,male,12.7,39,0,0,,,
5,20190119,20190119,excavation,female,14.3,45.1,0,0,,,
6,20190119,20190119,excavation,female,21.8,81.8,1,0,,,
7,20190119,20190119,excavation,male,23.1,70,0,0,,,weird membrane under gill cover
8,20190119,20190119,excavation,male,10.6,30.3,1,0,,,
9,20190119,20190119,excavation,male,15.5,47.7,1,1,,,
10,20190119,20190119,excavation,male,18.7,56.9,0,0,,,
11,20190119,20190119,excavation,male,14.7,42,0,0,,,
12,20190119,20190119,excavation,male,26.4,82.6,0,0,,,
13,20190119,20190119,excavation,male,14.6,46.1,0,0,,,
14,20190119,20190119,excavation,female,11.2,35.3,0,0,,,
15,20190119,20190119,excavation,male,13.7,42.8,0,0,,,
16,20190119,20190119,excavation,male,13.5,40.8,0,0,,,
17,20190119,20190119,excavation,female,4.1,19.2,0,0,,,
18,20190119,20190119,excavation,male,9.2,28.8,0,0,,,
19,20190119,20190119,excavation,male,10.2,29.8,0,0,,,
20,20190119,20190119,excavation,male,11.2,34.8,0,0,,,
21,20190119,20190119,excavation,male,16.2,NA,0,0,,,only retained half of organism
22,20190119,20190119,excavation,male,16.2,48.6,1,0,,,
23,20190119,20190119,excavation,male,15.1,NA,0,0,,,only retained half of organism
24,20190119,20190119,excavation,male,23.4,55.8,0,0,,,
25,20190119,20190119,excavation,male,14.2,43.7,0,0,,,
26,20190119,20190119,excavation,female,16.7,51,0,0,,,
27,20190119,20190119,excavation,male,9.7,29,0,0,,,
28,20190119,20190119,excavation,male,10.7,33.3,0,0,,,
29,20190119,20190119,excavation,female,11.7,34.6,0,0,,,
30,20190119,20190119,excavation,male,17.8,54.5,0,0,,,
31,20190119,20190119,excavation,male,20.8,63.4,0,0,,,
32,20190119,20190119,excavation,male,6,19.8,0,0,,,
33,20190119,20190119,excavation,male,11.2,NA,0,0,,,only retained half of organism
34,20190119,20190119,excavation,male,13.4,39.8,0,0,,,
35,20190119,20190119,excavation,male,14.3,41.3,0,0,,,
36,20190119,20190119,excavation,female,21.6,66.7,0,0,,,
37,20190119,20190119,excavation,male,12.7,39,0,0,,,
38,20190119,20190119,excavation,female,22.2,69.1,1,1,,,
39,20190119,20190119,excavation,male,4.7,13.2,0,0,,,
40,20190119,20190119,excavation,female,7.4,21.1,0,0,,,
41,20190119,20190119,excavation,female,10.3,32.1,0,0,,,
42,20190119,20190119,excavation,female,15,46.1,0,0,,,
43,20190119,20190119,excavation,male,7.2,22.4,0,0,,,
44,20190119,20190119,excavation,female,22.4,71.4,0,0,,,
45,20190119,20190119,excavation,male,25.6,78.4,0,0,,,
46,20190119,20190119,excavation,female,15.1,45.2,0,0,,,
47,20190119,20190119,excavation,male,12,35.5,0,0,,,
48,20190119,20190119,excavation,female,17.6,54,0,0,,,
49,20190119,20190119,excavation,male,7.4,22.8,0,0,,,
50,20190119,20190119,excavation,female,13.8,41,0,0,,,
51,20190119,20190119,excavation,female,15.2,49.5,0,0,,,
52,20190119,20190119,excavation,male,16.1,47.7,0,0,,,
53,20190119,20190119,excavation,female,20.2,61,1,0,,,
54,20190119,20190119,excavation,female,22.9,NA,0,0,,,only retained half of organism
55,20190119,20190119,excavation,male,6.8,19.9,0,0,,,
56,20190119,20190119,excavation,female,18.7,64,0,0,,,
57,20190119,20190119,excavation,male,24,64.9,0,0,,,
58,20190119,20190119,excavation,female,8.1,25,0,0,,,
59,20190119,20190119,excavation,female,15,46.5,0,0,,,
60,20190119,20190119,excavation,female,6.8,19.9,0,0,,,
61,20190119,20190119,excavation,male,8.1,22.5,0,0,,,
62,20190119,20190119,excavation,female,14.8,41.1,0,0,,,
63,20190119,20190119,excavation,female,22.8,62.5,1,1,,,
